"","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","ExterQual","ExterCond","Foundation","BsmtQual","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageFinish","GarageCars","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","PoolQC","MiscVal","MoSold","YrSold","SaleType","SaleCondition","YrSold_YearBuilt","YearRemodel_YearBuilt","YrSold_YearRemodel"
"1",60,4,65,8450,2,NA,4,4,5,1,6,3,3,1,6,7,5,2003,2003,2,2,13,14,3,5,3,3,706,0,150,856,2,1,2,856,854,0,1710,1,0,2,1,3,1,3,8,7,0,2,2,548,3,0,61,0,0,0,0,1,0,2,2008,9,5,5,0,5
"2",20,4,80,9600,2,NA,4,4,3,1,25,2,3,1,3,6,8,1976,1976,2,2,9,9,4,5,2,3,978,0,284,1262,2,1,2,1262,0,0,1262,0,1,2,0,3,1,4,6,7,1,2,2,460,3,298,0,0,0,0,0,1,0,5,2007,9,5,31,0,31
"3",60,4,68,11250,2,NA,1,4,5,1,6,3,3,1,6,7,5,2001,2002,2,2,13,14,3,5,3,3,486,0,434,920,2,1,2,920,866,0,1786,1,0,2,1,3,1,3,6,7,1,2,2,608,3,0,42,0,0,0,0,1,0,9,2008,9,5,7,1,6
"4",70,4,60,9550,2,NA,1,4,1,1,7,3,3,1,6,7,5,1915,1970,2,2,14,16,4,5,1,4,216,0,540,756,2,3,2,961,756,0,1717,1,0,1,0,3,1,3,7,7,1,3,3,642,3,0,35,272,0,0,0,1,0,2,2006,9,1,91,55,36
"5",60,4,84,14260,2,NA,1,4,3,1,14,3,3,1,6,8,5,2000,2000,2,2,13,14,3,5,3,3,655,0,490,1145,2,1,2,1145,1053,0,2198,1,0,2,1,4,1,3,9,7,1,2,3,836,3,192,84,0,0,0,0,1,0,12,2008,9,5,8,0,8
"6",50,4,85,14115,2,NA,1,4,5,1,12,3,3,1,1,5,5,1993,1995,2,2,13,14,4,5,6,3,732,0,64,796,2,1,2,796,566,0,1362,1,0,1,1,1,1,4,5,7,0,3,2,480,3,40,30,0,320,0,0,1,700,10,2009,9,5,16,2,14
"7",20,4,75,10084,2,NA,4,4,5,1,21,3,3,1,3,8,5,2004,2005,2,2,13,14,3,5,3,1,1369,0,317,1686,2,1,2,1694,0,0,1694,1,0,2,0,3,1,3,7,7,1,2,2,636,3,255,57,0,0,0,0,1,0,8,2007,9,5,3,1,2
"8",60,4,NA,10382,2,NA,1,4,1,1,17,5,3,1,6,7,6,1973,1973,2,2,7,7,4,5,2,3,859,32,216,1107,2,1,2,1107,983,0,2090,1,0,2,1,3,1,4,7,7,2,2,2,484,3,235,204,228,0,0,0,1,350,11,2009,9,5,36,0,36
"9",50,5,51,6120,2,NA,4,4,5,1,18,1,3,1,1,7,5,1931,1950,2,2,4,16,4,5,1,4,0,0,952,952,2,3,2,1022,752,0,1774,0,0,2,0,2,2,4,8,3,2,3,2,468,3,90,0,205,0,0,0,1,0,4,2008,9,1,77,19,58
"10",190,4,50,7420,2,NA,4,4,1,1,4,1,1,2,2,5,6,1939,1950,2,2,9,9,4,5,1,4,851,0,140,991,2,1,2,1077,0,0,1077,1,0,1,0,2,2,4,5,7,2,2,1,205,3,0,4,0,0,0,0,1,0,1,2008,9,5,69,11,58
"11",20,4,70,11200,2,NA,4,4,5,1,19,3,3,1,3,5,5,1965,1965,4,2,7,7,4,5,2,4,906,0,134,1040,2,1,2,1040,0,0,1040,1,0,1,0,3,1,4,5,7,0,3,1,384,3,0,0,0,0,0,0,1,0,2,2008,9,5,43,0,43
"12",60,4,85,11924,2,NA,1,4,5,1,16,3,3,1,6,9,5,2005,2006,4,2,15,16,1,5,3,1,998,0,177,1175,2,1,2,1182,1142,0,2324,1,0,3,0,4,1,1,11,7,2,1,3,736,3,147,21,0,0,0,0,1,0,7,2006,7,6,1,1,0
"13",20,4,NA,12968,2,NA,2,4,5,1,19,3,3,1,3,5,6,1962,1962,4,2,7,11,4,5,2,4,737,0,175,912,2,5,2,912,0,0,912,1,0,1,0,2,1,4,4,7,0,3,1,352,3,140,0,0,0,176,0,1,0,9,2008,9,5,46,0,46
"14",20,4,91,10652,2,NA,1,4,5,1,6,3,3,1,3,7,5,2006,2007,2,2,13,14,3,5,3,3,0,0,1494,1494,2,1,2,1494,0,0,1494,0,0,2,0,3,1,3,7,7,1,2,3,840,3,160,33,0,0,0,0,1,0,8,2007,7,6,1,1,0
"15",20,4,NA,10920,2,NA,1,4,1,1,13,3,3,1,3,6,5,1960,1960,4,2,9,9,4,5,2,4,733,0,520,1253,2,5,2,1253,0,0,1253,1,0,1,1,2,1,4,5,7,1,2,1,352,3,0,213,176,0,0,0,1,0,5,2008,9,5,48,0,48
"16",45,5,51,6120,2,NA,4,4,1,1,4,3,3,1,2,7,8,1929,2001,2,2,14,15,4,5,1,4,0,0,832,832,2,1,2,854,0,0,854,0,0,1,0,2,1,4,5,7,0,3,2,576,3,48,112,0,0,0,0,1,0,7,2007,9,5,78,72,6
"17",20,4,NA,11241,2,NA,1,4,2,1,13,3,3,1,3,6,7,1970,1970,2,2,14,15,4,5,2,4,578,0,426,1004,2,1,2,1004,0,0,1004,1,0,1,0,2,1,4,5,7,1,1,2,480,3,0,0,0,0,0,0,1,700,3,2010,9,5,40,0,40
"18",90,4,72,10791,2,NA,4,4,5,1,19,3,3,3,3,4,5,1967,1967,2,2,9,9,4,5,4,NA,0,0,0,0,2,5,2,1296,0,0,1296,0,0,2,0,2,2,4,6,7,0,3,2,516,3,0,0,0,0,0,0,1,500,10,2006,9,5,39,0,39
"19",20,4,66,13695,2,NA,4,4,5,1,20,6,3,1,3,5,5,2004,2004,2,2,13,14,4,5,3,4,646,0,468,1114,2,1,2,1114,0,0,1114,1,0,1,1,3,1,3,6,7,0,3,2,576,3,0,102,0,0,0,0,1,0,6,2008,9,5,4,0,4
"20",20,4,70,7560,2,NA,4,4,5,1,13,3,3,1,3,5,6,1958,1965,4,2,4,11,4,5,2,4,504,0,525,1029,2,5,2,1339,0,0,1339,0,0,1,0,3,1,4,6,3,0,3,1,294,3,0,0,0,0,0,0,1,0,5,2009,1,1,51,7,44
"21",60,4,101,14215,2,NA,1,4,1,1,16,3,3,1,6,8,5,2005,2006,2,2,13,14,3,5,3,1,0,0,1158,1158,2,1,2,1158,1218,0,2376,0,0,3,1,4,1,3,9,7,1,2,3,853,3,240,154,0,0,0,0,1,0,11,2006,7,6,1,1,0
"22",45,5,57,7449,2,2,4,1,5,1,10,3,3,1,2,7,7,1930,1950,2,2,14,15,4,5,3,4,0,0,637,637,2,1,2,1108,0,0,1108,0,0,1,0,3,1,3,6,7,1,3,1,280,1,0,0,205,0,0,0,1,0,6,2007,9,5,77,20,57
"23",20,4,75,9742,2,NA,4,4,5,1,6,3,3,1,3,8,5,2002,2002,4,2,13,14,3,5,3,3,0,0,1777,1777,2,1,2,1795,0,0,1795,0,0,2,0,3,1,3,7,7,1,2,2,534,3,171,159,0,0,0,0,1,0,9,2008,9,5,6,0,6
"24",120,5,44,4224,2,NA,4,4,5,1,11,3,3,5,3,5,7,1976,1976,2,2,6,6,4,5,3,3,840,0,200,1040,2,5,2,1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,3,2,572,3,100,110,0,0,0,0,1,0,6,2007,9,5,31,0,31
"25",20,4,NA,8246,2,NA,1,4,5,1,19,3,3,1,3,5,8,1968,2001,2,2,10,11,4,3,2,4,188,668,204,1060,2,1,2,1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,3,1,270,3,406,90,0,0,0,0,1,0,5,2010,9,5,42,33,9
"26",20,4,110,14230,2,NA,4,4,1,1,16,3,3,1,3,8,5,2007,2007,2,2,13,14,3,5,3,3,0,0,1566,1566,2,1,2,1600,0,0,1600,0,0,2,0,3,1,3,7,7,1,2,3,890,3,0,56,0,0,0,0,1,0,7,2009,9,5,2,0,2
"27",20,4,60,7200,2,NA,4,4,1,1,13,3,3,1,3,5,7,1951,2000,2,2,14,15,4,5,2,4,234,486,180,900,2,5,2,900,0,0,900,0,1,1,0,3,1,3,5,7,0,3,2,576,3,222,32,0,0,0,0,1,0,5,2010,9,5,59,49,10
"28",20,4,98,11478,2,NA,4,4,5,1,16,3,3,1,3,8,5,2007,2008,2,2,13,14,3,5,3,1,1218,0,486,1704,2,1,2,1704,0,0,1704,1,0,2,0,3,1,3,7,7,1,2,3,772,3,0,50,0,0,0,0,1,0,5,2010,9,5,3,1,2
"29",20,4,47,16321,2,NA,1,4,2,1,13,3,3,1,3,5,6,1957,1997,2,2,9,9,4,5,2,4,1277,0,207,1484,2,5,2,1600,0,0,1600,1,0,1,0,2,1,4,6,7,2,2,1,319,3,288,258,0,0,0,0,1,0,12,2006,9,5,49,40,9
"30",30,5,60,6324,2,NA,1,4,5,1,4,2,8,1,3,4,6,1927,1950,2,2,9,9,4,5,1,4,0,0,520,520,2,2,1,520,0,0,520,0,0,1,0,1,1,2,4,7,0,3,1,240,3,49,0,87,0,0,0,1,0,5,2008,9,5,81,23,58
"31",70,1,50,8500,2,3,4,4,5,1,10,2,3,1,6,4,4,1920,1950,3,2,4,4,4,2,1,4,0,0,649,649,2,5,1,649,668,0,1317,0,0,1,0,3,1,4,6,7,0,3,1,250,1,0,54,172,0,0,0,1,0,7,2008,9,5,88,30,58
"32",20,4,NA,8544,2,NA,1,4,2,1,19,3,3,1,3,5,6,1966,2006,2,2,7,7,4,5,2,4,0,0,1228,1228,2,3,2,1228,0,0,1228,0,0,1,1,3,1,3,6,7,0,3,1,271,3,0,65,0,0,0,0,1,0,6,2008,9,5,42,40,2
"33",20,4,85,11049,2,NA,4,4,1,1,6,3,3,1,3,8,5,2007,2007,2,2,13,14,3,5,3,1,0,0,1234,1234,2,1,2,1234,0,0,1234,0,0,2,0,3,1,3,7,7,0,2,2,484,3,0,30,0,0,0,0,1,0,1,2008,9,5,1,0,1
"34",20,4,70,10552,2,NA,1,4,5,1,13,3,3,1,3,5,5,1959,1959,4,2,4,4,4,5,2,4,1018,0,380,1398,2,3,2,1700,0,0,1700,0,1,1,1,4,1,3,6,7,1,2,2,447,3,0,38,0,0,0,0,1,0,4,2010,9,5,51,0,51
"35",120,4,60,7313,2,NA,4,4,5,1,16,3,3,5,3,9,5,2005,2005,4,2,9,9,1,5,3,1,1153,0,408,1561,2,1,2,1561,0,0,1561,1,0,2,0,2,1,1,6,7,1,1,2,556,3,203,47,0,0,0,0,1,0,8,2007,9,5,2,0,2
"36",60,4,108,13418,2,NA,4,4,5,1,16,3,3,1,6,8,5,2004,2005,2,2,13,14,3,5,3,1,0,0,1117,1117,2,1,2,1132,1320,0,2452,0,0,3,1,4,1,3,9,7,1,1,3,691,3,113,32,0,0,0,0,1,0,9,2006,9,5,2,1,1
"37",20,4,112,10859,2,NA,4,4,1,1,6,3,3,1,3,5,5,1994,1995,2,2,13,14,4,5,3,3,0,0,1097,1097,2,1,2,1097,0,0,1097,0,0,1,1,3,1,4,6,7,0,3,2,672,3,392,64,0,0,0,0,1,0,6,2009,9,5,15,1,14
"38",20,4,74,8532,2,NA,4,4,5,1,13,3,3,1,3,5,6,1954,1990,4,2,14,15,4,5,2,4,1213,0,84,1297,2,3,2,1297,0,0,1297,0,1,1,0,3,1,4,5,7,1,1,2,498,3,0,0,0,0,0,0,1,0,10,2009,9,5,55,36,19
"39",20,4,68,7922,2,NA,4,4,5,1,13,3,3,1,3,5,7,1953,2007,2,2,13,14,4,3,2,4,731,0,326,1057,2,5,2,1057,0,0,1057,1,0,1,0,3,1,3,5,7,0,3,1,246,3,0,52,0,0,0,0,1,0,1,2010,9,1,57,54,3
"40",90,4,65,6040,2,NA,4,4,5,1,8,3,3,3,3,4,5,1955,1955,2,2,1,11,4,5,3,NA,0,0,0,0,2,5,1,1152,0,0,1152,0,0,2,0,2,2,2,6,7,0,NA,0,0,1,0,0,0,0,0,0,1,0,6,2008,9,2,53,0,53
"41",20,4,84,8658,2,NA,4,4,5,1,13,3,3,1,3,6,5,1965,1965,2,2,14,15,4,5,2,4,643,0,445,1088,2,1,2,1324,0,0,1324,0,0,2,0,3,1,4,6,7,1,2,2,440,3,0,138,0,0,0,0,1,0,12,2006,9,1,41,0,41
"42",20,4,115,16905,2,NA,4,4,5,1,24,3,3,1,3,5,6,1959,1959,2,2,13,14,4,3,2,4,967,0,383,1350,2,3,2,1328,0,0,1328,0,1,1,1,2,1,4,5,7,2,2,1,308,2,0,104,0,0,0,0,1,0,7,2007,9,5,48,0,48
"43",85,4,NA,9180,2,NA,1,4,2,1,20,3,3,1,7,5,7,1983,1983,2,2,7,7,4,5,2,3,747,93,0,840,2,3,2,884,0,0,884,1,0,1,0,2,1,3,5,7,0,2,2,504,3,240,0,0,0,0,0,1,0,12,2007,9,5,24,0,24
"44",20,4,NA,9200,2,NA,1,4,2,1,6,3,3,1,3,5,6,1975,1980,4,2,13,14,4,5,2,3,280,491,167,938,2,5,2,938,0,0,938,1,0,1,0,3,1,4,5,7,0,3,1,308,3,145,0,0,0,0,0,1,0,7,2008,9,5,33,5,28
"45",20,4,70,7945,2,NA,4,4,5,1,13,3,3,1,3,5,6,1959,1959,2,2,4,15,4,5,2,4,179,506,465,1150,2,1,2,1150,0,0,1150,1,0,1,0,3,1,4,6,7,0,2,1,300,3,0,0,0,0,0,0,1,0,5,2006,9,5,47,0,47
